date,sku,name,category,original_price,sale_price,discount_percentage,price_tier,discount_tier,in_stock,savings_amount
2025-12-01,AZ-PH0QSF,Refined Bomber Jacket,outerwear,227.95,227.95,0.0,luxury,none,True,0.0
2025-12-01,AZ-QQVC4C,Ultra Denim Jacket,outerwear,337.88,337.88,0.0,luxury,none,True,0.0
2025-12-01,AZ-5JBDFL,Signature Blazer,outerwear,416.3,374.67,10.0,luxury,small,True,41.63
2025-12-01,AZ-4EC5H6,Relaxed Bomber Jacket,outerwear,203.09,203.09,0.0,luxury,none,True,0.0
2025-12-01,AZ-32X3QD,Relaxed Trench Coat,outerwear,176.21,176.21,0.0,premium,none,True,0.0
2025-12-01,AZ-RCQUUB,Ultra Blazer,outerwear,242.74,145.64,40.0,luxury,medium,True,97.1
2025-12-01,AZ-UZSL4I,Ultra Denim Jacket,outerwear,358.06,322.25,10.0,luxury,small,True,35.81
2025-12-01,AZ-K5P5KJ,Modern Leather Jacket,outerwear,298.55,149.28,50.0,luxury,large,True,149.27
2025-12-01,AZ-OSVS0I,Relaxed Cardigan,outerwear,168.71,101.23,40.0,premium,medium,True,67.48
2025-12-01,AZ-KE2DB0,Refined Denim Jacket,outerwear,154.59,123.67,20.0,premium,small,True,30.92
2025-12-01,AZ-QJS2D9,Effortless Puffer Jacket,outerwear,411.04,411.04,0.0,luxury,none,True,0.0
2025-12-01,AZ-QPV8MI,Ultra Bomber Jacket,outerwear,449.53,449.53,0.0,luxury,none,True,0.0
2025-12-01,AZ-UNFA66,Relaxed Leather Jacket,outerwear,352.68,176.34,50.0,luxury,large,True,176.34
2025-12-01,AZ-RKF2R3,Refined Wool Coat,outerwear,243.15,170.2,30.0,luxury,medium,True,72.95
2025-12-01,AZ-HGILUH,Refined Trench Coat,outerwear,426.55,426.55,0.0,luxury,none,True,0.0
2025-12-01,AZ-1QA67Z,Classic Cardigan,outerwear,310.39,248.31,20.0,luxury,small,True,62.08
2025-12-01,AZ-UG75PL,Modern Puffer Jacket,outerwear,286.85,258.17,10.0,luxury,small,True,28.68
2025-12-01,AZ-AOAWMK,Ultra Trench Coat,outerwear,261.18,182.83,30.0,luxury,medium,True,78.35
2025-12-01,AZ-Q0M66L,Modern Puffer Jacket,outerwear,208.59,187.73,10.0,luxury,small,True,20.86
2025-12-01,AZ-T1I4IN,Signature Cardigan,outerwear,279.71,279.71,0.0,luxury,none,False,0.0
2025-12-01,AZ-3GYNHZ,Effortless Bomber Jacket,outerwear,278.98,278.98,0.0,luxury,none,True,0.0
2025-12-01,AZ-J8K1TN,Modern Bomber Jacket,outerwear,189.59,189.59,0.0,premium,none,True,0.0
2025-12-01,AZ-YPLBF0,Signature Cardigan,outerwear,210.39,210.39,0.0,luxury,none,True,0.0
2025-12-01,AZ-JCVEEH,Super Denim Jacket,outerwear,362.69,253.88,30.0,luxury,medium,True,108.81
2025-12-01,AZ-M0SRBB,Refined Leather Jacket,outerwear,333.7,333.7,0.0,luxury,none,True,0.0
2025-12-01,AZ-X56GSD,Effortless Blazer,outerwear,267.42,267.42,0.0,luxury,none,False,0.0
2025-12-01,AZ-3CR0CI,Super Blazer,outerwear,323.41,323.41,0.0,luxury,none,True,0.0
2025-12-01,AZ-GUK6PC,Relaxed Puffer Jacket,outerwear,384.01,384.01,0.0,luxury,none,True,0.0
2025-12-01,AZ-H6GK94,Contour Leather Jacket,outerwear,170.1,170.1,0.0,premium,none,True,0.0
2025-12-01,AZ-ZJF4H5,Essential Puffer Jacket,outerwear,342.55,239.78,30.0,luxury,medium,True,102.77
